City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,shingu,33.7333,135.9833,293.61,39,0,0.41,JP,1667877547
235,port hedland,-20.3167,118.5667,301.18,39,0,10.8,AU,1667877547
236,margate,51.3813,1.3862,288.65,78,99,5.81,GB,1667877547
237,nanchang,28.6833,115.8833,296.7,43,11,2.37,CN,1667877548
238,kavieng,-2.5744,150.7967,301.94,70,100,2.16,PG,1667877548
239,hasaki,35.7333,140.8333,292.37,51,0,5.4,JP,1667877549
240,khatanga,71.9667,102.5,259.41,96,100,1.46,RU,1667877549
241,songkhla,6.8333,100.6667,303.18,75,94,2.62,TH,1667877549
242,vestmannaeyjar,63.4427,-20.2734,280.16,86,100,8.94,IS,1667877550
243,salalah,17.0151,54.0924,296.2,73,0,1.03,OM,1667877550
244,neiafu,-18.65,-173.9833,301.53,65,20,4.12,TO,1667877550
245,nyahururu,0.0421,36.3673,285.17,80,92,1.9,KE,1667877551
246,horsham,51.064,-0.3272,288.88,77,100,7.72,GB,1667877475
247,jalu,29.0331,21.5482,289.53,83,0,3.95,LY,1667877551
248,padang,-0.9492,100.3543,301.18,74,100,1.12,ID,1667877551
249,sinnamary,5.3833,-52.95,298.15,89,100,2.92,GF,1667877552
250,buchanan,5.8808,-10.0467,298.19,87,96,1.91,LR,1667877552
251,voyvozh,62.892,54.9635,271.06,97,100,3.73,RU,1667877553
252,hargeysa,9.56,44.065,290.53,89,2,1.38,SO,1667877306
253,bang saphan,11.2126,99.5117,301.88,68,98,3.68,TH,1667877553
254,calabozo,8.9242,-67.4293,296.79,92,89,1.61,VE,1667877553
255,gandajika,-6.75,23.95,292.31,90,95,1.05,CD,1667877554
256,maniitsoq,65.4167,-52.9,264.59,55,0,3.12,GL,1667877554
257,warrnambool,-38.3833,142.4833,295.28,67,32,0.77,AU,1667877554
258,ellisville,38.5925,-90.5871,284.68,48,99,2.24,US,1667877555
259,nieuw amsterdam,5.8833,-55.0833,297.24,94,100,2.0,SR,1667877555
260,husavik,66.0449,-17.3389,277.41,93,100,5.84,IS,1667877556
261,sidi ali,36.0998,0.4206,290.59,68,3,1.03,DZ,1667877556
262,sorland,67.667,12.6934,279.07,68,7,10.14,NO,1667877556
263,pijijiapan,15.7011,-93.23,298.09,87,92,1.82,MX,1667877557
264,north bend,43.4065,-124.2243,279.35,94,100,5.14,US,1667877330
265,herat,34.5,62.0,279.05,80,100,5.65,AF,1667877557
266,kabinda,-6.1333,24.4833,292.54,86,100,1.56,CD,1667877558
267,tucuma,-0.1833,-50.05,296.25,97,100,1.9,BR,1667877558
268,mandera,3.9366,41.867,298.19,69,83,5.24,KE,1667877558
269,port augusta,-32.5,137.7667,304.38,24,97,8.59,AU,1667877559
270,belmonte,-15.8631,-38.8828,294.72,78,99,2.83,BR,1667877559
271,ancud,-41.8697,-73.8203,285.19,94,99,1.36,CL,1667877559
272,mizdah,31.4451,12.9801,283.47,80,0,0.68,LY,1667877560
273,pueblo nuevo,23.3833,-105.3833,284.76,53,0,2.72,MX,1667877560
274,vanimo,-2.6741,141.3028,301.26,80,100,0.75,PG,1667877560
275,sobolevo,54.4299,31.8996,278.45,89,100,4.85,RU,1667877561
276,tomatlan,19.9333,-105.25,294.58,94,0,0.86,MX,1667877561
277,ketchikan,55.3422,-131.6461,272.41,29,0,3.09,US,1667877562
278,saint-pierre,-21.3393,55.4781,297.97,57,0,1.54,RE,1667877562
279,nanakuli,21.3906,-158.1547,302.12,55,0,5.66,US,1667877562
280,mecca,21.4267,39.8261,297.09,66,0,0.67,SA,1667877563
281,talnakh,69.4865,88.3972,249.93,100,90,2.56,RU,1667877563
282,grand gaube,-20.0064,57.6608,298.36,68,62,1.34,MU,1667877564
283,nishihara,26.1842,127.7558,298.75,74,100,7.72,JP,1667877564
284,alice springs,-23.7,133.8833,308.9,15,62,5.14,AU,1667877291
285,krasnyy chikoy,50.3643,108.7512,274.19,54,99,1.32,RU,1667877565
286,kyaikkami,16.08,97.5675,299.87,69,7,3.41,MM,1667877565
287,tshikapa,-6.4167,20.8,294.04,99,100,0.8,CD,1667877565
288,iqaluit,63.7506,-68.5145,264.0,66,75,2.06,CA,1667877566
289,donskoye,45.4552,41.9741,277.22,85,100,6.61,RU,1667877566
290,tazovskiy,67.4667,78.7,265.18,96,100,4.02,RU,1667877566
291,punta de bombon,-17.1717,-71.7931,290.41,82,5,2.24,PE,1667877567
292,ndele,8.4109,20.6473,296.1,73,94,1.7,CF,1667877567
293,ormara,25.2088,64.6357,298.68,65,0,2.45,PK,1667877567
294,half moon bay,37.4636,-122.4286,285.28,78,0,6.69,US,1667877568
295,novelda,38.3848,-0.7677,287.91,83,8,1.25,ES,1667877568
296,nome,64.5011,-165.4064,274.19,100,100,12.35,US,1667877568
297,havoysund,70.9963,24.6622,278.28,72,24,3.66,NO,1667877569
298,paamiut,61.994,-49.6678,264.72,57,100,3.7,GL,1667877569
299,punto fijo,11.6956,-70.1996,300.96,77,95,2.53,VE,1667877570
300,oktyabrskoye,43.0645,44.7417,273.23,100,55,1.0,RU,1667877570
301,jiangkou,25.4872,119.1986,296.35,59,53,7.07,CN,1667877570
302,morondava,-20.2833,44.2833,299.17,75,57,2.15,MG,1667877571
303,svetlyy,54.675,20.1347,282.57,88,100,6.43,RU,1667877571
304,porto recanati,43.4365,13.6613,285.51,64,2,1.53,IT,1667877571
305,antofagasta,-23.65,-70.4,288.75,79,24,1.29,CL,1667877432
306,san pedro,14.35,121.0167,302.77,73,75,2.06,PH,1667877442
307,bengkulu,-3.8004,102.2655,298.59,83,100,1.26,ID,1667877431
308,jiazi,22.8779,116.067,296.37,75,96,5.87,CN,1667877572
309,miles city,46.4083,-105.8406,273.69,55,0,6.17,US,1667877572
310,sakakah,29.9697,40.2064,289.91,50,49,4.67,SA,1667877573
311,puerto del rosario,28.5004,-13.8627,295.01,83,100,5.14,ES,1667877288
